Type,State,Population
Urban,Alabama,2900880
Rural,Alabama,2123399
Urban,Alaska,475967
Rural,Alaska,257424
Urban,Arizona,6385230
Rural,Arizona,766272
Urban,Arkansas,1670677
Rural,Arkansas,1340847
Urban,California,37259490
Rural,California,2278733
Urban,Colorado,4966936
Rural,Colorado,806778
Urban,Connecticut,3110153
Rural,Connecticut,495791
Urban,Delaware,817817
Rural,Delaware,172131
Urban,District of Columbia,689545
Rural,District of Columbia,0
Urban,Florida,19714806
Rural,Florida,1823381
Urban,Georgia,7933986
Rural,Georgia,2777922
Urban,Hawaii,1252450
Rural,Hawaii,202821
Urban,Idaho,1273437
Rural,Idaho,565669
Urban,Illinois,11137590
Rural,Illinois,1674918
Urban,Indiana,4829686
Rural,Indiana,1955842
Urban,Iowa,2014831
Rural,Iowa,1175538
Urban,Kansas,2124059
Rural,Kansas,813821
Urban,Kentucky,2644856
Rural,Kentucky,1860980
Urban,Louisiana,3332237
Rural,Louisiana,1325520
Urban,Maine,526309
Rural,Maine,836050
Urban,Maryland,5288760
Rural,Maryland,888464
Urban,Massachusetts,6416895
Rural,Massachusetts,613022
Urban,Michigan,7404258
Rural,Michigan,2673073
Urban,Minnesota,4101754
Rural,Minnesota,1604740
Urban,Mississippi,1370790
Rural,Mississippi,1590489
Urban,Missouri,4275663
Rural,Missouri,1879250
Urban,Montana,579177
Rural,Montana,505048
Urban,Nebraska,1432003
Rural,Nebraska,529501
Urban,Nevada,2921203
Rural,Nevada,183411
Urban,New Hampshire,803420
Rural,New Hampshire,574109
Urban,New Jersey,8708779
Rural,New Jersey,580215
Urban,New Mexico,1578552
Rural,New Mexico,538970
Urban,New York,17665166
Rural,New York,2536083
Urban,North Carolina,6964727
Rural,North Carolina,3474661
Urban,North Dakota,474989
Rural,North Dakota,304105
Urban,Ohio,9001099
Rural,Ohio,2798349
Urban,Oklahoma,2558611
Rural,Oklahoma,1400742
Urban,Oregon,3410984
Rural,Oregon,826272
Urban,Pennsylvania,9941070
Rural,Pennsylvania,3061630
Urban,Rhode Island,999191
Rural,Rhode Island,98188
Urban,South Carolina,3477869
Rural,South Carolina,1640556
Urban,South Dakota,507347
Rural,South Dakota,379320
Urban,Tennessee,4577282
Rural,Tennessee,2333558
Urban,Texas,24400697
Rural,Texas,4744808
Urban,Utah,2937303
Rural,Utah,334313
Urban,Vermont,225850
Rural,Vermont,417227
Urban,Virginia,6528313
Rural,Virginia,2103080
Urban,Washington,6424035
Rural,Washington,1281246
Urban,West Virginia,800857
Rural,West Virginia,992859
Urban,Wisconsin,3953691
Rural,Wisconsin,1940027
Urban,Wyoming,357750
Rural,Wyoming,219101
Urban,Puerto Rico,3018908
Rural,Puerto Rico,266966
