FIPS,STABR,AREA,BEALE93,FPVDET89,FINPOV89,FPOV89,FPVDET99,FINPOV99,FPOV99,Population base 1989,Population in poverty 1989,Poverty rate 1989,Population base 1999,Population in poverty 1999,Poverty rate 1999,Children <18 1989 base,Children <18 1989 in pov,Children <18 1989 pov rate,Children <18 1999 base,Children <18 1999 in pov,Children <18 1999 pov rate
0,US,United States,,65049428,6487515,10.0,72261780,6620945,9.2,241977859,31742864,13.1,273882232,33899812,12.4,62278655,11161836,17.9,70505715,11386031,16.1
1000,AL,Alabama,,1111139,158369,14.3,1223185,153113,12.5,3945798,723614,18.3,4334919,698097,16.1,1044374,250485,24.0,1103709,233961,21.2
1001,AL,Autauga County,2,9572,1151,12.0,12414,1022,8.2,34009,5324,15.7,43377,4738,10.9,9972,2124,21.3,12338,1682,13.6
1003,AL,Baldwin County,2,28260,2950,10.4,40531,3082,7.6,97227,13947,14.3,138148,14018,10.1,25238,5186,20.5,33716,4403,13.1
1005,AL,Barbour County,6,6733,1348,20.0,7438,1605,21.6,24785,6244,25.2,26239,7032,26.8,7174,2308,32.2,7244,2689,37.1
1007,AL,Bibb County,6,4518,783,17.3,5567,832,14.9,16304,3454,21.2,19852,4091,20.6,4677,1260,26.9,5217,1442,27.6
1009,AL,Blount County,2,11679,1329,11.4,14817,1271,8.6,38924,5938,15.3,50499,5930,11.7,9867,1744,17.7,12872,1699,13.2
1011,AL,Bullock County,6,2704,849,31.4,2721,811,29.8,10340,3776,36.5,10169,3405,33.5,3374,1707,50.6,2973,1329,44.7
1013,AL,Butler County,7,5848,1438,24.6,5894,1202,20.4,21648,6815,31.5,21143,5205,24.6,6536,2790,42.7,5711,1788,31.3
1015,AL,Calhoun County,3,31759,3712,11.7,31431,3899,12.4,110981,17385,15.7,109830,17695,16.1,28581,5416,18.9,25828,5833,22.6
1017,AL,Chambers County,5,10396,1394,13.4,10285,1475,14.3,36424,6849,18.8,36006,6134,17.0,9449,2602,27.5,8872,2000,22.5
1019,AL,Cherokee County,6,5850,833,14.2,7215,849,11.8,19464,3424,17.6,23601,3672,15.6,4599,936,20.4,5194,1062,20.4
1021,AL,Chilton County,6,9369,1225,13.1,11395,1438,12.6,32113,5495,17.1,39179,6152,15.7,8547,1619,18.9,9989,1942,19.4
1023,AL,Choctaw County,9,4390,1045,23.8,4549,942,20.7,15929,4809,30.2,15738,3858,24.5,4610,1757,38.1,4049,1408,34.8
1025,AL,Clarke County,7,7256,1414,19.5,7795,1407,18.1,26896,6960,25.9,27479,6207,22.6,8135,2592,31.9,7722,2284,29.6
1027,AL,Clay County,9,3755,525,14.0,4087,529,12.9,13025,2272,17.4,13981,2392,17.1,3219,634,19.7,3333,719,21.6
1029,AL,Cleburne County,6,3782,431,11.4,4158,454,10.9,12653,1936,15.3,14004,1953,13.9,3297,573,17.4,3370,542,16.1
1031,AL,Coffee County,4,11766,1374,11.7,12609,1419,11.3,39780,6180,15.5,42767,6285,14.7,10192,1922,18.9,10485,2334,22.3
1033,AL,Colbert County,3,15270,1688,11.1,16093,1790,11.1,51345,7477,14.6,54384,7592,14.0,12419,2476,19.9,12920,2376,18.4
1035,AL,Conecuh County,7,3921,893,22.8,3931,853,21.7,13939,4145,29.7,13987,3719,26.6,3804,1398,36.8,3593,1298,36.1
1037,AL,Coosa County,8,3116,478,15.3,3460,410,11.8,10902,1984,18.2,11788,1760,14.9,2836,618,21.8,2875,562,19.5
1039,AL,Covington County,7,10506,1738,16.5,10813,1524,14.1,36162,7971,22.0,37063,6838,18.4,9245,2601,28.1,8751,2093,23.9
1041,AL,Crenshaw County,6,3880,772,19.9,3912,729,18.6,13479,3279,24.3,13408,2964,22.1,3621,1069,29.5,3251,920,28.3
1043,AL,Cullman County,6,19980,2410,12.1,22570,2139,9.5,66728,10214,15.3,76428,9935,13.0,16607,2829,17.0,18266,2642,14.5
1045,AL,Dale County,3,13313,1454,10.9,13693,1730,12.6,47128,6971,14.8,47305,7140,15.1,13710,2743,20.0,12866,2497,19.4
1047,AL,Dallas County,4,12485,3920,31.4,12622,3438,27.2,47176,17099,36.2,45864,14243,31.1,14822,7299,49.2,13014,5292,40.7
1049,AL,DeKalb County,6,16239,2306,14.2,18574,2175,11.7,54070,9382,17.4,63615,9791,15.4,13735,2598,18.9,15535,2884,18.6
1051,AL,Elmore County,2,13061,1448,11.1,17583,1298,7.4,45813,6643,14.5,60397,6187,10.2,12877,2418,18.8,16617,2356,14.2
1053,AL,Escambia County,6,9560,2098,21.9,10102,1531,15.2,34148,9584,28.1,36316,7579,20.9,9394,3563,37.9,9055,2241,24.7
